11;saepe;;;";";spesso;;sì;30;30
12;adhuc;;;";";ancora;;sì;30;30
13;velut;;;";";come, allo stesso modo, come se;;sì;30;30
14;longe;;;";";lontano, di gran lunga, a lungo;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;sermo, -onis;;;";";linguaggio, discorso;;sì;30;30
2;latus, -eris;;;";";lato;;sì;30;30
3;senex, -is;;;";";vecchio;;sì;30;30
4;orbis, -is;;;";";cerchio, mondo;;sì;30;30
5;amnis ,-is;;;";";fiume;;sì;30;30
6;imperator, -oris;;;";";comandante;;sì;30;30
7;uxor, -is;;;";";moglie;;sì;30;30
8;sidus, -eris;;;";";corpo celeste;;sì;30;30
9;classis, - is;;;";";flotta;;sì;30;30
10;vis, -;;;";";"forza (ricorda che si tratta di forza ""dinamica"", che non ha genitivo e dativo singolare, che l'accusativo è vim e che al plurale la radice è vir-)";;sì;30;30
11;iter, itineris;;;";";via (ricorda che il resto della declinazione segue itineris, ma è neutro quindi accusativo e vocativo singolari fanno iter);;sì;30;30
12;finis, -is;;;";";fine, limite;;sì;30;30
13;fines, -ium;;;";";confini, territorio;;sì;30;30
14;maiores, -orum;;;";";gli antenati;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;vix;;;";";a stento;;sì;30;30
2;mox;;;";";in breve, presto;;sì;30;30
3;rursus;;;";";di nuovo;;sì;30;30
4;procul;;;";";lontano;;sì;30;30
5;nondum;;;";";non ancora;;sì;30;30
6;ubi (avv.);;;";";dove;;sì;30;30
7;usque;;;";";fino a;;sì;30;30
8;interim;;;";";nel frattempo;;sì;30;30
9;adeo (avv.);;;";";a tal punto;;sì;30;30
10;ibi;;;";";lì;;sì;30;30
11;ideo;;;";";perciò;;sì;30;30
12;tandem;;;";";infine;;sì;30;30
13;umquam;;;";";mai;;sì;30;30
14;huc;;;";";qui (moto a luogo);;sì;30;30
15;cur;;;";";perché;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;contra (avv.);;;";";al contrario, di fronte;;sì;30;30
2;aliquando;;;";";una volta;;sì;30;30
3;prope;;;";";vicino;;sì;30;30
4;certe;;;";";sicuramente;;sì;30;30
5;trado;";";trado, -is, tradidi, -itum, -ere;||;affidare;;sì;30;30
6;fugio;";";fugio, -is, fugi, -itum, -ere;||;fuggire;;sì;30;30
7;paro;";";paro, -as, -avi, -atum, -are;||;preparare;;sì;30;30
8;traho;";";traho, -is, traxi, tractum, -ere;||;tirare;;sì;30;30
9;cogo;";";cogo, -is, coegi, coactum, -ere;||;costringere;;sì;30;30
10;recipio;";";recipio, -is,- cepi, -ceptum, -ere;||;ricevere;;sì;30;30
11;invenio;";";invenio, -venis, -veni, -ventum, -ire;||;trovare;;sì;30;30
12;cado;";";cado, -is, cecidi, (part. fut. casurus), -ere;||;cadere;;sì;30;30
13;cognosco;";";cognosco, -is, -ovi, -itum, -ere;||;venire a sapere;;sì;30;30
14;pervenio;";";pervenio, -is, -veni, -ventum, -ire;||;arrivare;;sì;30;30
;;;;;;;;;
;;;;;;;;;
*;volo;";";Volo, vis, volui, velle;||;volere;;sì;30;30
*;nolo;";";Nolo, non vis, nolui, nolle;||;non volere;;sì;30;30
*;malo;";";Malo, mavis, malui, malle;||;preferire;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;sentio;";";sentio, -is, sensi, sensum, -ire;||;percepire;;sì;30;30
2;omnis, -e;;;";";ogni, tutto;;sì;30;30
3;par, -is;;;";";uguale;;sì;30;30
4;propior, propius;;;";";"più vicino (comparativo di ""prope"")";;sì;30;30
